name,ambience,keyTouch,keyTranspose,songTranspose,keyboardMode,singleToneMSB,singleToneLSB,singleTonePC,splitLowerToneMSB,splitLowerToneLSB,splitLowerTonePC,splitOctaveShift,splitUpperOctaveShift,splitPoint,splitBalance,dualTone2MSB,dualTone2LSB,dualTone2PC,dualOctaveShift,dualTone1OctaveShift,dualBalance,twinPianoMode,damperPedalPart,centerPedalFunc,leftPedalFunc,midiTxCh,rotarySpeed,modulationSpeed,upperVolume,lowerVolume,micCompSw,micCompType,micDoublingSw,micDoublingType,micDoublingWidth,micDoublingLevel,micEchoSw,micEchoType,micEchoLevel,centerPedalPart,leftPedalPart,registrationTxCh,registrationBankMSB,registrationBankLSB,registrationPC
ConcertPiano,2,50,0,0,0,0,68,0,0,67,32,0,0,54,0,1,67,49,0,0,-5,1,0,0,0,1,0,0,100,100,0,1,0,0,1,10,0,0,5,0,0,0,0,0,0
SuperLightSt,2,5,0,0,0,0,68,0,0,67,32,0,0,54,0,1,67,49,0,0,-5,1,0,0,0,1,0,0,60,60,0,1,0,0,1,10,0,0,5,0,0,0,0,0,0
Antique Pno ,2,50,0,0,0,2,66,0,0,67,32,0,0,54,0,1,67,49,0,0,-5,1,0,0,0,1,0,0,90,90,0,1,0,0,1,10,0,0,5,0,0,0,0,0,0
SA Piano 3  ,2,45,0,0,0,8,71,2,0,67,32,0,0,54,0,1,67,49,0,0,-5,1,0,0,0,1,0,4,100,100,0,1,0,0,1,10,0,0,5,0,0,0,0,0,0
70's E.Grand,2,50,0,0,0,8,72,2,0,67,32,0,0,54,0,1,67,49,0,0,-5,1,0,0,0,1,0,3,100,100,0,1,0,0,1,10,0,0,5,0,0,0,0,0,0
Tine EP Lite,4,50,0,0,0,8,70,4,0,67,32,0,0,54,0,1,67,49,0,0,-5,1,0,0,0,1,0,4,100,100,0,1,0,0,1,10,0,0,5,0,0,0,0,0,0
Wurly 200   ,4,50,0,0,0,25,64,4,0,67,32,0,0,54,0,1,67,49,0,0,-5,1,0,0,0,1,0,81,100,100,0,1,0,0,1,10,0,0,5,0,0,0,0,0,0
B.Org PedalC,2,50,0,0,0,1,65,18,0,67,32,0,0,54,0,1,67,49,0,0,-5,1,0,10,10,1,0,0,100,100,0,1,1,0,1,10,1,0,5,0,0,0,0,0,0
JP8 Strings ,8,60,0,0,0,0,68,50,0,67,32,0,0,54,0,1,67,49,0,0,-5,1,0,0,0,1,0,0,100,100,0,1,0,0,1,10,0,0,5,0,0,0,0,0,0
Church-Organ,10,50,0,0,0,8,70,19,0,67,32,1,0,54,0,1,67,49,1,0,-5,1,0,0,0,1,0,0,75,75,0,1,0,0,1,10,0,0,5,0,0,0,0,0,0
Pno+SynthPad,2,50,0,0,2,0,68,0,0,67,32,0,0,54,0,1,71,89,0,0,-5,1,0,0,0,1,0,0,100,61,0,1,0,0,1,10,0,0,5,0,0,0,0,0,0
PhaseEP+D-50,2,50,0,0,2,8,68,4,0,67,32,0,0,54,0,1,64,88,0,0,-5,1,0,0,0,1,0,64,100,43,0,1,0,0,1,10,0,0,5,0,0,0,0,0,0
8EP+ChoirAah,2,45,0,0,2,0,68,5,0,67,32,0,0,54,0,8,72,52,0,0,-5,1,0,0,0,1,0,3,100,42,0,1,0,0,1,10,0,0,5,0,0,0,0,0,0
Pno+MetalcEP,2,31,0,0,2,0,68,0,0,67,32,0,0,54,0,0,69,5,0,0,-5,1,0,0,0,1,0,5,79,59,0,1,0,0,1,10,0,0,5,0,0,0,0,0,0
SA EP+FM EP ,2,45,0,0,2,32,64,5,0,67,32,0,0,54,0,0,68,5,0,0,-5,1,0,0,0,1,0,6,86,83,0,1,0,0,1,10,0,0,5,0,0,0,0,0,0
AcBass/AcPno,2,50,0,0,1,0,68,0,0,67,32,0,0,54,0,1,67,49,0,0,-5,1,1,0,0,1,0,0,92,78,0,1,0,0,1,10,0,0,5,0,0,0,0,0,0
E.Bass/EPmix,3,50,0,0,1,8,68,4,0,66,33,0,0,54,0,1,67,49,0,0,-5,1,1,0,0,1,0,64,96,80,0,1,0,0,1,10,0,0,5,0,0,0,0,0,0
E.Bass/SynPd,3,50,0,0,1,1,71,89,0,66,33,0,0,54,0,1,67,49,0,0,-5,1,1,0,0,1,0,0,96,80,0,1,0,0,1,10,0,0,5,0,0,0,0,0,0
NewJP/TSynth,2,50,0,0,1,1,65,90,0,69,97,1,0,59,0,1,67,49,0,0,-5,1,1,0,0,1,0,0,92,78,0,1,0,0,1,10,0,0,5,0,0,0,0,0,0
SAEP/Solina ,8,50,0,0,1,0,66,50,32,66,5,1,0,64,0,1,67,49,0,0,-5,1,0,0,0,1,0,6,76,100,0,1,0,0,1,10,0,0,5,0,0,0,0,0,0
ForYourSetup ,2,60,0,0,0,0,68,0,0,67,32,0,0,54,0,1,67,49,0,0,-5,1,0,0,0,1,0,0,100,100,0,1,0,0,1,10,0,0,5,0,0,0,0,0,0
ForYourSetup ,2,60,0,0,0,0,68,0,0,67,32,0,0,54,0,1,67,49,0,0,-5,1,0,0,0,1,0,0,100,100,0,1,0,0,1,10,0,0,5,0,0,0,0,0,0
ForYourSetup ,2,60,0,0,0,0,68,0,0,67,32,0,0,54,0,1,67,49,0,0,-5,1,0,0,0,1,0,0,100,100,0,1,0,0,1,10,0,0,5,0,0,0,0,0,0
ForYourSetup ,2,60,0,0,0,0,68,0,0,67,32,0,0,54,0,1,67,49,0,0,-5,1,0,0,0,1,0,0,100,100,0,1,0,0,1,10,0,0,5,0,0,0,0,0,0
ForYourSetup ,2,60,0,0,0,0,68,0,0,67,32,0,0,54,0,1,67,49,0,0,-5,1,0,0,0,1,0,0,100,100,0,1,0,0,1,10,0,0,5,0,0,0,0,0,0
ForYourSetup,2,60,0,0,0,0,68,0,0,67,32,0,0,54,0,1,67,49,0,0,-5,1,0,0,0,1,0,0,100,100,0,1,0,0,1,10,0,0,5,0,0,0,0,0,0
ForYourSetup,2,60,0,0,0,0,68,0,0,67,32,0,0,54,0,1,67,49,0,0,-5,1,0,0,0,1,0,0,100,100,0,1,0,0,1,10,0,0,5,0,0,0,0,0,0
ForYourSetup,2,60,0,0,0,0,68,0,0,67,32,0,0,54,0,1,67,49,0,0,-5,1,0,0,0,1,0,0,100,100,0,1,0,0,1,10,0,0,5,0,0,0,0,0,0
ForYourSetup,2,60,0,0,0,0,68,0,0,67,32,0,0,54,0,1,67,49,0,0,-5,1,0,0,0,1,0,0,100,100,0,1,0,0,1,10,0,0,5,0,0,0,0,0,0
ForYourSetup,2,60,0,0,0,0,68,0,0,67,32,0,0,54,0,1,67,49,0,0,-5,1,0,0,0,1,0,0,100,100,0,1,0,0,1,10,0,0,5,0,0,0,0,0,0
